class	description	inherits	inherits.2	inherits.3	inherits.4	inherits.5
HealthClub	A health club.	SportsActivityLocation	LocalBusiness	Place	Thing	NA
HealthClub	A health club.	SportsActivityLocation	LocalBusiness	Organization	Thing	NA
HealthClub	A health club.	HealthAndBeautyBusiness	LocalBusiness	Place	Thing	NA
HealthClub	A health club.	HealthAndBeautyBusiness	LocalBusiness	Organization	Thing	NA
HealthAndBeautyBusiness	Health and beauty.	LocalBusiness	Place	Thing	NA	NA
HealthAndBeautyBusiness	Health and beauty.	LocalBusiness	Organization	Thing	NA	NA
HardwareStore	A hardware store.	Store	LocalBusiness	Place	Thing	NA
HardwareStore	A hardware store.	Store	LocalBusiness	Organization	Thing	NA
HairSalon	A hair salon.	HealthAndBeautyBusiness	LocalBusiness	Place	Thing	NA
HairSalon	A hair salon.	HealthAndBeautyBusiness	LocalBusiness	Organization	Thing	NA
HVACBusiness	A business that provide Heating, Ventilation and Air Conditioning services.	HomeAndConstructionBusiness	LocalBusiness	Place	Thing	NA
HVACBusiness	A business that provide Heating, Ventilation and Air Conditioning services.	HomeAndConstructionBusiness	LocalBusiness	Organization	Thing	NA
GroceryStore	A grocery store.	Store	LocalBusiness	Place	Thing	NA
GroceryStore	A grocery store.	Store	LocalBusiness	Organization	Thing	NA
GovernmentService	A service provided by a government organization, e.g. food stamps, veterans benefits, etc.	Service	Intangible	Thing	NA	NA
GovernmentPermit	A permit issued by a government agency.	Permit	Intangible	Thing	NA	NA
GovernmentOrganization	A governmental organization or agency.	Organization	Thing	NA	NA	NA
GovernmentOffice	A government office&#x2014;for example, an IRS or DMV office.	LocalBusiness	Place	Thing	NA	NA
GovernmentOffice	A government office&#x2014;for example, an IRS or DMV office.	LocalBusiness	Organization	Thing	NA	NA
GovernmentBuilding	A government building.	CivicStructure	Place	Thing	NA	NA
GolfCourse	A golf course.	SportsActivityLocation	LocalBusiness	Place	Thing	NA
GolfCourse	A golf course.	SportsActivityLocation	LocalBusiness	Organization	Thing	NA
GiveAction	The act of transferring ownership of an object to a destination. Reciprocal of TakeAction.\n\nRelated actions:\n\n* [[TakeAction]]: Reciprocal of GiveAction.\n* [[SendAction]]: Unlike SendAction, GiveAction implies that ownership is being transferred (e.g. I may send my laptop to you, but that doesn't mean I'm giving it to you).	TransferAction	Action	Thing	NA	NA
GeoShape	The geographic shape of a place. A GeoShape can be described using several properties whose values are based on latitude/longitude pairs. Either whitespace or commas can be used to separate latitude and longitude; whitespace should be used when writing a list of several such points.	StructuredValue	Intangible	Thing	NA	NA
GeoCoordinates	The geographic coordinates of a place or event.	StructuredValue	Intangible	Thing	NA	NA
GeoCircle	"A GeoCircle is a GeoShape representing a circular geographic area. As it is a GeoShape
          it provides the simple textual property 'circle', but also allows the combination of postalCode alongside geoRadius.
          The center of the circle can be indicated via the 'geoMidpoint' property, or more approximately using 'address', 'postalCode'.
"	GeoShape	StructuredValue	Intangible	Thing	NA
GeneralContractor	A general contractor.	HomeAndConstructionBusiness	LocalBusiness	Place	Thing	NA
GeneralContractor	A general contractor.	HomeAndConstructionBusiness	LocalBusiness	Organization	Thing	NA
GenderType	An enumeration of genders.	Enumeration	Intangible	Thing	NA	NA
GatedResidenceCommunity	Residence type: Gated community.	Residence	Place	Thing	NA	NA
GasStation	A gas station.	AutomotiveBusiness	LocalBusiness	Place	Thing	NA
GasStation	A gas station.	AutomotiveBusiness	LocalBusiness	Organization	Thing	NA
GardenStore	A garden store.	Store	LocalBusiness	Place	Thing	NA
GardenStore	A garden store.	Store	LocalBusiness	Organization	Thing	NA
GameServerStatus	Status of a game server.	Enumeration	Intangible	Thing	NA	NA
GameServer	Server that provides game interaction in a multiplayer game.	Intangible	Thing	NA	NA	NA
GamePlayMode	Indicates whether this game is multi-player, co-op or single-player.	Enumeration	Intangible	Thing	NA	NA
Game	The Game type represents things which are games. These are typically rule-governed recreational activities, e.g. role-playing games in which players assume the role of characters in a fictional setting.	CreativeWork	Thing	NA	NA	NA
FurnitureStore	A furniture store.	Store	LocalBusiness	Place	Thing	NA
FurnitureStore	A furniture store.	Store	LocalBusiness	Organization	Thing	NA
FoodService	A food service, like breakfast, lunch, or dinner.	Service	Intangible	Thing	NA	NA
FoodEvent	Event type: Food event.	Event	Thing	NA	NA	NA
FoodEstablishmentReservation	A reservation to dine at a food-related business.\n\nNote: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations.	Reservation	Intangible	Thing	NA	NA
FoodEstablishment	A food-related business.	LocalBusiness	Place	Thing	NA	NA
FoodEstablishment	A food-related business.	LocalBusiness	Organization	Thing	NA	NA
FollowAction	The act of forming a personal connection with someone/something (object) unidirectionally/asymmetrically to get updates polled from.\n\nRelated actions:\n\n* [[BefriendAction]]: Unlike BefriendAction, FollowAction implies that the connection is *not* necessarily reciprocal.\n* [[SubscribeAction]]: Unlike SubscribeAction, FollowAction implies that the follower acts as an active agent constantly/actively polling for updates.\n* [[RegisterAction]]: Unlike RegisterAction, FollowAction implies that the agent is interested in continuing receiving updates from the object.\n* [[JoinAction]]: Unlike JoinAction, FollowAction implies that the agent is interested in getting updates from the object.\n* [[TrackAction]]: Unlike TrackAction, FollowAction refers to the polling of updates of all aspects of animate objects rather than the location of inanimate objects (e.g. you track a package, but you don't follow it).	InteractAction	Action	Thing	NA	NA
Florist	A florist.	Store	LocalBusiness	Place	Thing	NA
Florist	A florist.	Store	LocalBusiness	Organization	Thing	NA
Float	Data type: Floating number.	Number	NA	NA	NA	NA
FlightReservation	A reservation for air travel.\n\nNote: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations. For offers of tickets, use [[Offer]].	Reservation	Intangible	Thing	NA	NA
Flight	An airline flight.	Trip	Intangible	Thing	NA	NA
FireStation	A fire station. With firemen.	EmergencyService	LocalBusiness	Place	Thing	NA
FireStation	A fire station. With firemen.	EmergencyService	LocalBusiness	Organization	Thing	NA
FireStation	A fire station. With firemen.	CivicStructure	Place	Thing	NA	NA
FindAction	The act of finding an object.\n\nRelated actions:\n\n* [[SearchAction]]: FindAction is generally lead by a SearchAction, but not necessarily.	Action	Thing	NA	NA	NA
FinancialService	Financial services business.	LocalBusiness	Place	Thing	NA	NA
FinancialService	Financial services business.	LocalBusiness	Organization	Thing	NA	NA
FinancialProduct	A product provided to consumers and businesses by financial institutions such as banks, insurance companies, brokerage firms, consumer finance companies, and investment companies which comprise the financial services industry.	Service	Intangible	Thing	NA	NA
FilmAction	The act of capturing sound and moving images on film, video, or digitally.	CreateAction	Action	Thing	NA	NA
Festival	Event type: Festival.	Event	Thing	NA	NA	NA
FastFoodRestaurant	A fast-food restaurant.	FoodEstablishment	LocalBusiness	Place	Thing	NA
FastFoodRestaurant	A fast-food restaurant.	FoodEstablishment	LocalBusiness	Organization	Thing	NA
ExhibitionEvent	Event type: Exhibition event, e.g. at a museum, library, archive, tradeshow, ...	Event	Thing	NA	NA	NA
ExerciseGym	A gym.	SportsActivityLocation	LocalBusiness	Place	Thing	NA
ExerciseGym	A gym.	SportsActivityLocation	LocalBusiness	Organization	Thing	NA
ExerciseAction	The act of participating in exertive activity for the purposes of improving health and fitness.	PlayAction	Action	Thing	NA	NA
EventVenue	An event venue.	CivicStructure	Place	Thing	NA	NA
EventStatusType	EventStatusType is an enumeration type whose instances represent several states that an Event may be in.	Enumeration	Intangible	Thing	NA	NA
EventReservation	A reservation for an event like a concert, sporting event, or lecture.\n\nNote: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations. For offers of tickets, use [[Offer]].	Reservation	Intangible	Thing	NA	NA
Event	An event happening at a certain time and location, such as a concert, lecture, or festival. Ticketing information may be added via the [[offers]] property. Repeated events may be structured as separate Event objects.	Thing	NA	NA	NA	NA
Episode	A media episode (e.g. TV, radio, video game) which can be part of a series or season.	CreativeWork	Thing	NA	NA	NA
Enumeration	Lists or enumerations—for example, a list of cuisines or music genres, etc.	Intangible	Thing	NA	NA	NA
EntryPoint	An entry point, within some Web-based protocol.	Intangible	Thing	NA	NA	NA
EntertainmentBusiness	A business providing entertainment.	LocalBusiness	Place	Thing	NA	NA
EntertainmentBusiness	A business providing entertainment.	LocalBusiness	Organization	Thing	NA	NA
EngineSpecification	Information about the engine of the vehicle. A vehicle can have multiple engines represented by multiple engine specification entities.	StructuredValue	Intangible	Thing	NA	NA
Energy	Properties that take Energy as values are of the form '&lt;Number&gt; &lt;Energy unit of measure&gt;'.	Quantity	Intangible	Thing	NA	NA
EndorseAction	An agent approves/certifies/likes/supports/sanction an object.	ReactAction	AssessAction	Action	Thing	NA
EmploymentAgency	An employment agency.	LocalBusiness	Place	Thing	NA	NA
EmploymentAgency	An employment agency.	LocalBusiness	Organization	Thing	NA	NA
EmployeeRole	A subclass of OrganizationRole used to describe employee relationships.	OrganizationRole	Role	Intangible	Thing	NA
EmergencyService	An emergency service, such as a fire station or ER.	LocalBusiness	Place	Thing	NA	NA
EmergencyService	An emergency service, such as a fire station or ER.	LocalBusiness	Organization	Thing	NA	NA
Embassy	An embassy.	GovernmentBuilding	CivicStructure	Place	Thing	NA
EmailMessage	An email message.	Message	CreativeWork	Thing	NA	NA
ElementarySchool	An elementary school.	EducationalOrganization	Organization	Thing	NA	NA
ElectronicsStore	An electronics store.	Store	LocalBusiness	Place	Thing	NA
ElectronicsStore	An electronics store.	Store	LocalBusiness	Organization	Thing	NA
Electrician	An electrician.	HomeAndConstructionBusiness	LocalBusiness	Place	Thing	NA
Electrician	An electrician.	HomeAndConstructionBusiness	LocalBusiness	Organization	Thing	NA
EducationalOrganization	An educational organization.	Organization	Thing	NA	NA	NA
EducationalAudience	An EducationalAudience.	Audience	Intangible	Thing	NA	NA
EducationEvent	Event type: Education event.	Event	Thing	NA	NA	NA
EatAction	The act of swallowing solid objects.	ConsumeAction	Action	Thing	NA	NA
Duration	Quantity: Duration (use [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601)).	Quantity	Intangible	Thing	NA	NA
DryCleaningOrLaundry	A dry-cleaning business.	LocalBusiness	Place	Thing	NA	NA
DryCleaningOrLaundry	A dry-cleaning business.	LocalBusiness	Organization	Thing	NA	NA
DriveWheelConfigurationValue	A value indicating which roadwheels will receive torque.	QualitativeValue	Enumeration	Intangible	Thing	NA
DrinkAction	The act of swallowing liquids.	ConsumeAction	Action	Thing	NA	NA
DrawAction	The act of producing a visual/graphical representation of an object, typically with a pen/pencil and paper as instruments.	CreateAction	Action	Thing	NA	NA
DownloadAction	The act of downloading an object.	TransferAction	Action	Thing	NA	NA
DonateAction	The act of providing goods, services, or money without compensation, often for philanthropic reasons.	TradeAction	Action	Thing	NA	NA
Distance	Properties that take Distances as values are of the form '&lt;Number&gt; &lt;Length unit of measure&gt;'. E.g., '7 ft'.	Quantity	Intangible	Thing	NA	NA
DislikeAction	The act of expressing a negative sentiment about the object. An agent dislikes an object (a proposition, topic or theme) with participants.	ReactAction	AssessAction	Action	Thing	NA
DiscussionForumPosting	A posting to a discussion forum.	SocialMediaPosting	Article	CreativeWork	Thing	NA
DiscoverAction	The act of discovering/finding an object.	FindAction	Action	Thing	NA	NA
DisagreeAction	The act of expressing a difference of opinion with the object. An agent disagrees to/about an object (a proposition, topic or theme) with participants.	ReactAction	AssessAction	Action	Thing	NA
DigitalDocumentPermissionType	A type of permission which can be granted for accessing a digital document.	Enumeration	Intangible	Thing	NA	NA
DigitalDocumentPermission	A permission for a particular person or group to access a particular file.	Intangible	Thing	NA	NA	NA
DigitalDocument	An electronic file or document.	CreativeWork	Thing	NA	NA	NA
DepositAccount	A type of Bank Account with a main purpose of depositing funds to gain interest or other benefits.	InvestmentOrDeposit	FinancialProduct	Service	Intangible	Thing
DepositAccount	A type of Bank Account with a main purpose of depositing funds to gain interest or other benefits.	BankAccount	FinancialProduct	Service	Intangible	Thing
DepartmentStore	A department store.	Store	LocalBusiness	Place	Thing	NA
DepartmentStore	A department store.	Store	LocalBusiness	Organization	Thing	NA
DepartAction	The act of  departing from a place. An agent departs from an fromLocation for a destination, optionally with participants.	MoveAction	Action	Thing	NA	NA
Dentist	A dentist.	MedicalOrganization	Organization	Thing	NA	NA
Dentist	A dentist.	LocalBusiness	Place	Thing	NA	NA
Dentist	A dentist.	LocalBusiness	Organization	Thing	NA	NA
Demand	A demand entity represents the public, not necessarily binding, not necessarily exclusive, announcement by an organization or person to seek a certain type of goods or services. For describing demand using this type, the very same properties used for Offer apply.	Intangible	Thing	NA	NA	NA
DeliveryMethod	"A delivery method is a standardized procedure for transferring the product or service to the destination of fulfillment chosen by the customer. Delivery methods are characterized by the means of transportation used, and by the organization or group that is the contracting party for the sending organization or person.\n\nCommonly used values:\n\n* http://purl.org/goodrelations/v1#DeliveryModeDirectDownload\n* http://purl.org/goodrelations/v1#DeliveryModeFreight\n* http://purl.org/goodrelations/v1#DeliveryModeMail\n* http://purl.org/goodrelations/v1#DeliveryModeOwnFleet\n* http://purl.org/goodrelations/v1#DeliveryModePickUp\n* http://purl.org/goodrelations/v1#DHL\n* http://purl.org/goodrelations/v1#FederalExpress\n* http://purl.org/goodrelations/v1#UPS
"	Enumeration	Intangible	Thing	NA	NA
DeliveryEvent	An event involving the delivery of an item.	Event	Thing	NA	NA	NA
DeliveryChargeSpecification	The price for the delivery of an offer using a particular delivery method.	PriceSpecification	StructuredValue	Intangible	Thing	NA
DeleteAction	The act of editing a recipient by removing one of its objects.	UpdateAction	Action	Thing	NA	NA
DefenceEstablishment	A defence establishment, such as an army or navy base.	GovernmentBuilding	CivicStructure	Place	Thing	NA
DeactivateAction	The act of stopping or deactivating a device or application (e.g. stopping a timer or turning off a flashlight).	ControlAction	Action	Thing	NA	NA
DaySpa	A day spa.	HealthAndBeautyBusiness	LocalBusiness	Place	Thing	NA
DaySpa	A day spa.	HealthAndBeautyBusiness	LocalBusiness	Organization	Thing	NA
DayOfWeek	"The day of the week, e.g. used to specify to which day the opening hours of an OpeningHoursSpecification refer.

Originally, URLs from [GoodRelations](http://purl.org/goodrelations/v1) were used (for [[Monday]], [[Tuesday]], [[Wednesday]], [[Thursday]], [[Friday]], [[Saturday]], [[Sunday]] plus a special entry for [[PublicHolidays]]); these have now been integrated directly into schema.org.
"	Enumeration	Intangible	Thing	NA	NA
DatedMoneySpecification	A DatedMoneySpecification represents monetary values with optional start and end dates. For example, this could represent an employee's salary over a specific period of time. __Note:__ This type has been superseded by [[MonetaryAmount]] use of that type is recommended	StructuredValue	Intangible	Thing	NA	NA
DateTime	A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm] (see Chapter 5.4 of ISO 8601).	NA	NA	NA	NA	NA
Date	A date value in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601).	NA	NA	NA	NA	NA
Dataset	A body of structured information describing some topic(s) of interest.	CreativeWork	Thing	NA	NA	NA
DataType	The basic data types such as Integers, Strings, etc.	NA	NA	NA	NA	NA
DataFeedItem	A single item within a larger data feed.	Intangible	Thing	NA	NA	NA
DataFeed	A single feed providing structured information about one or more entities or topics.	Dataset	CreativeWork	Thing	NA	NA
DataDownload	A dataset in downloadable form.	MediaObject	CreativeWork	Thing	NA	NA
DataCatalog	A collection of datasets.	CreativeWork	Thing	NA	NA	NA
DanceGroup	A dance group&#x2014;for example, the Alvin Ailey Dance Theater or Riverdance.	PerformingGroup	Organization	Thing	NA	NA
DanceEvent	Event type: A social dance.	Event	Thing	NA	NA	NA
CurrencyConversionService	A service to convert funds from one currency to another currency.	FinancialProduct	Service	Intangible	Thing	NA
Crematorium	A crematorium.	CivicStructure	Place	Thing	NA	NA
CreditCard	"A card payment method of a particular brand or name.  Used to mark up a particular payment method and/or the financial product/service that supplies the card account.\n\nCommonly used values:\n\n* http://purl.org/goodrelations/v1#AmericanExpress\n* http://purl.org/goodrelations/v1#DinersClub\n* http://purl.org/goodrelations/v1#Discover\n* http://purl.org/goodrelations/v1#JCB\n* http://purl.org/goodrelations/v1#MasterCard\n* http://purl.org/goodrelations/v1#VISA
"	PaymentCard	PaymentMethod	Enumeration	Intangible	Thing
CreditCard	"A card payment method of a particular brand or name.  Used to mark up a particular payment method and/or the financial product/service that supplies the card account.\n\nCommonly used values:\n\n* http://purl.org/goodrelations/v1#AmericanExpress\n* http://purl.org/goodrelations/v1#DinersClub\n* http://purl.org/goodrelations/v1#Discover\n* http://purl.org/goodrelations/v1#JCB\n* http://purl.org/goodrelations/v1#MasterCard\n* http://purl.org/goodrelations/v1#VISA
"	PaymentCard	FinancialProduct	Service	Intangible	Thing
CreditCard	"A card payment method of a particular brand or name.  Used to mark up a particular payment method and/or the financial product/service that supplies the card account.\n\nCommonly used values:\n\n* http://purl.org/goodrelations/v1#AmericanExpress\n* http://purl.org/goodrelations/v1#DinersClub\n* http://purl.org/goodrelations/v1#Discover\n* http://purl.org/goodrelations/v1#JCB\n* http://purl.org/goodrelations/v1#MasterCard\n* http://purl.org/goodrelations/v1#VISA
"	LoanOrCredit	FinancialProduct	Service	Intangible	Thing
CreativeWorkSeries	"A CreativeWorkSeries in schema.org is a group of related items, typically but not necessarily of the same kind. CreativeWorkSeries are usually organized into some order, often chronological. Unlike [[ItemList]] which is a general purpose data structure for lists of things, the emphasis with CreativeWorkSeries is on published materials (written e.g. books and periodicals, or media such as tv, radio and games).\n\nSpecific subtypes are available for describing [[TVSeries]], [[RadioSeries]], [[MovieSeries]], [[BookSeries]], [[Periodical]] and [[VideoGameSeries]]. In each case, the [[hasPart]] / [[isPartOf]] properties can be used to relate the CreativeWorkSeries to its parts. The general CreativeWorkSeries type serves largely just to organize these more specific and practical subtypes.\n\nIt is common for properties applicable to an item from the series to be usefully applied to the containing group. Schema.org attempts to anticipate some of these cases, but publishers should be free to apply properties of the series parts to the series as a whole wherever they seem appropriate.
	"	Series	Intangible	Thing	NA	NA
CreativeWorkSeries	"A CreativeWorkSeries in schema.org is a group of related items, typically but not necessarily of the same kind. CreativeWorkSeries are usually organized into some order, often chronological. Unlike [[ItemList]] which is a general purpose data structure for lists of things, the emphasis with CreativeWorkSeries is on published materials (written e.g. books and periodicals, or media such as tv, radio and games).\n\nSpecific subtypes are available for describing [[TVSeries]], [[RadioSeries]], [[MovieSeries]], [[BookSeries]], [[Periodical]] and [[VideoGameSeries]]. In each case, the [[hasPart]] / [[isPartOf]] properties can be used to relate the CreativeWorkSeries to its parts. The general CreativeWorkSeries type serves largely just to organize these more specific and practical subtypes.\n\nIt is common for properties applicable to an item from the series to be usefully applied to the containing group. Schema.org attempts to anticipate some of these cases, but publishers should be free to apply properties of the series parts to the series as a whole wherever they seem appropriate.
	"	CreativeWork	Thing	NA	NA	NA
CreativeWorkSeason	A media season e.g. tv, radio, video game etc.	CreativeWork	Thing	NA	NA	NA
CreativeWork	The most generic kind of creative work, including books, movies, photographs, software programs, etc.	Thing	NA	NA	NA	NA
CreateAction	The act of deliberately creating/producing/generating/building a result out of the agent.	Action	Thing	NA	NA	NA
Courthouse	A courthouse.	GovernmentBuilding	CivicStructure	Place	Thing	NA
CourseInstance	An instance of a [[Course]] which is distinct from other instances because it is offered at a different time or location or through different media or modes of study or to a specific section of students.	Event	Thing	NA	NA	NA
Course	A description of an educational course which may be offered as distinct instances at which take place at different times or take place at different locations, or be offered through different media or modes of study. An educational course is a sequence of one or more educational events and/or creative works which aims to build knowledge, competence or ability of learners.	CreativeWork	Thing	NA	NA	NA
Country	A country.	AdministrativeArea	Place	Thing	NA	NA
Corporation	Organization: A business corporation.	Organization	Thing	NA	NA	NA
CookAction	The act of producing/preparing food.	CreateAction	Action	Thing	NA	NA
Conversation	One or more messages between organizations or people on a particular topic. Individual messages can be linked to the conversation with isPartOf or hasPart properties.	CreativeWork	Thing	NA	NA	NA
ConvenienceStore	A convenience store.	Store	LocalBusiness	Place	Thing	NA
ConvenienceStore	A convenience store.	Store	LocalBusiness	Organization	Thing	NA
ControlAction	An agent controls a device or application.	Action	Thing	NA	NA	NA
Continent	One of the continents (for example, Europe or Africa).	Landform	Place	Thing	NA	NA
ContactPointOption	Enumerated options related to a ContactPoint.	Enumeration	Intangible	Thing	NA	NA
ContactPoint	A contact point&#x2014;for example, a Customer Complaints department.	StructuredValue	Intangible	Thing	NA	NA
ContactPage	Web page type: Contact page.	WebPage	CreativeWork	Thing	NA	NA
ConsumeAction	The act of ingesting information/resources/food.	Action	Thing	NA	NA	NA
ConfirmAction	The act of notifying someone that a future event/action is going to happen as expected.\n\nRelated actions:\n\n* [[CancelAction]]: The antonym of ConfirmAction.	InformAction	CommunicateAction	InteractAction	Action	Thing
ComputerStore	A computer store.	Store	LocalBusiness	Place	Thing	NA
ComputerStore	A computer store.	Store	LocalBusiness	Organization	Thing	NA
ComputerLanguage	This type covers computer programming languages such as Scheme and Lisp, as well as other language-like computer representations. Natural languages are best represented with the [[Language]] type.	Intangible	Thing	NA	NA	NA
CompoundPriceSpecification	"A compound price specification is one that bundles multiple prices that all apply in combination for different dimensions of consumption. Use the name property of the attached unit price specification for indicating the dimension of a price component (e.g. ""electricity"" or ""final cleaning"")."	PriceSpecification	StructuredValue	Intangible	Thing	NA
CommunicateAction	The act of conveying information to another person via a communication medium (instrument) such as speech, email, or telephone conversation.	InteractAction	Action	Thing	NA	NA
CommentAction	The act of generating a comment about a subject.	CommunicateAction	InteractAction	Action	Thing	NA
Comment	A comment on an item - for example, a comment on a blog post. The comment's content is expressed via the [[text]] property, and its topic via [[about]], properties shared with all CreativeWorks.	CreativeWork	Thing	NA	NA	NA
ComedyEvent	Event type: Comedy event.	Event	Thing	NA	NA	NA
ComedyClub	A comedy club.	EntertainmentBusiness	LocalBusiness	Place	Thing	NA
ComedyClub	A comedy club.	EntertainmentBusiness	LocalBusiness	Organization	Thing	NA
CollegeOrUniversity	A college, university, or other third-level educational institution.	EducationalOrganization	Organization	Thing	NA	NA
CollectionPage	Web page type: Collection page.	WebPage	CreativeWork	Thing	NA	NA
Code	Computer programming source code. Example: Full (compile ready) solutions, code snippet samples, scripts, templates.	CreativeWork	Thing	NA	NA	NA
ClothingStore	A clothing store.	Store	LocalBusiness	Place	Thing	NA
ClothingStore	A clothing store.	Store	LocalBusiness	Organization	Thing	NA
Clip	A short TV or radio program or a segment/part of a program.	CreativeWork	Thing	NA	NA	NA
ClaimReview	A fact-checking review of claims made (or reported) in some creative work (referenced via itemReviewed).	Review	CreativeWork	Thing	NA	NA
CivicStructure	A public structure, such as a town hall or concert hall.	Place	Thing	NA	NA	NA
CityHall	A city hall.	GovernmentBuilding	CivicStructure	Place	Thing	NA
City	A city or town.	AdministrativeArea	Place	Thing	NA	NA
Church	A church.	PlaceOfWorship	CivicStructure	Place	Thing	NA
ChooseAction	The act of expressing a preference from a set of options or a large or unbounded set of choices/options.	AssessAction	Action	Thing	NA	NA
ChildrensEvent	Event type: Children's event.	Event	Thing	NA	NA	NA
ChildCare	A Childcare center.	LocalBusiness	Place	Thing	NA	NA
ChildCare	A Childcare center.	LocalBusiness	Organization	Thing	NA	NA
CheckoutPage	Web page type: Checkout page.	WebPage	CreativeWork	Thing	NA	NA
CheckOutAction	The act of an agent communicating (service provider, social media, etc) their departure of a previously reserved service (e.g. flight check in) or place (e.g. hotel).\n\nRelated actions:\n\n* [[CheckInAction]]: The antonym of CheckOutAction.\n* [[DepartAction]]: Unlike DepartAction, CheckOutAction implies that the agent is informing/confirming the end of a previously reserved service.\n* [[CancelAction]]: Unlike CancelAction, CheckOutAction implies that the agent is informing/confirming the end of a previously reserved service.	CommunicateAction	InteractAction	Action	Thing	NA
CheckInAction	The act of an agent communicating (service provider, social media, etc) their arrival by registering/confirming for a previously reserved service (e.g. flight check in) or at a place (e.g. hotel), possibly resulting in a result (boarding pass, etc).\n\nRelated actions:\n\n* [[CheckOutAction]]: The antonym of CheckInAction.\n* [[ArriveAction]]: Unlike ArriveAction, CheckInAction implies that the agent is informing/confirming the start of a previously reserved service.\n* [[ConfirmAction]]: Unlike ConfirmAction, CheckInAction implies that the agent is informing/confirming the *start* of a previously reserved service rather than its validity/existence.	CommunicateAction	InteractAction	Action	Thing	NA
CheckAction	An agent inspects, determines, investigates, inquires, or examines an object's accuracy, quality, condition, or state.	FindAction	Action	Thing	NA	NA
Cemetery	A graveyard.	CivicStructure	Place	Thing	NA	NA
CatholicChurch	A Catholic church.	PlaceOfWorship	CivicStructure	Place	Thing	NA
Casino	A casino.	EntertainmentBusiness	LocalBusiness	Place	Thing	NA
Casino	A casino.	EntertainmentBusiness	LocalBusiness	Organization	Thing	NA
Car	A car is a wheeled, self-powered motor vehicle used for transportation.	Vehicle	Product	Thing	NA	NA
CancelAction	The act of asserting that a future event/action is no longer going to happen.\n\nRelated actions:\n\n* [[ConfirmAction]]: The antonym of CancelAction.	PlanAction	OrganizeAction	Action	Thing	NA
Canal	A canal, like the Panama Canal.	BodyOfWater	Landform	Place	Thing	NA
CampingPitch	"A camping pitch is an individual place for overnight stay in the outdoors, typically being part of a larger camping site.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	Accommodation	Place	Thing	NA	NA
Campground	"A camping site, campsite, or campground is a place used for overnight stay in the outdoors. In British English a campsite is an area, usually divided into a number of pitches, where people can camp overnight using tents or camper vans or caravans; this British English use of the word is synonymous with the American English expression campground. In American English the term campsite generally means an area where an individual, family, group, or military unit can pitch a tent or parks a camper; a campground may contain many campsites (Source: Wikipedia, the free encyclopedia, see <a href=""http://en.wikipedia.org/wiki/Campsite"">http://en.wikipedia.org/wiki/Campsite</a>).
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	LodgingBusiness	LocalBusiness	Place	Thing	NA
Campground	"A camping site, campsite, or campground is a place used for overnight stay in the outdoors. In British English a campsite is an area, usually divided into a number of pitches, where people can camp overnight using tents or camper vans or caravans; this British English use of the word is synonymous with the American English expression campground. In American English the term campsite generally means an area where an individual, family, group, or military unit can pitch a tent or parks a camper; a campground may contain many campsites (Source: Wikipedia, the free encyclopedia, see <a href=""http://en.wikipedia.org/wiki/Campsite"">http://en.wikipedia.org/wiki/Campsite</a>).
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	LodgingBusiness	LocalBusiness	Organization	Thing	NA
Campground	"A camping site, campsite, or campground is a place used for overnight stay in the outdoors. In British English a campsite is an area, usually divided into a number of pitches, where people can camp overnight using tents or camper vans or caravans; this British English use of the word is synonymous with the American English expression campground. In American English the term campsite generally means an area where an individual, family, group, or military unit can pitch a tent or parks a camper; a campground may contain many campsites (Source: Wikipedia, the free encyclopedia, see <a href=""http://en.wikipedia.org/wiki/Campsite"">http://en.wikipedia.org/wiki/Campsite</a>).
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	CivicStructure	Place	Thing	NA	NA
CafeOrCoffeeShop	A cafe or coffee shop.	FoodEstablishment	LocalBusiness	Place	Thing	NA
CafeOrCoffeeShop	A cafe or coffee shop.	FoodEstablishment	LocalBusiness	Organization	Thing	NA
CableOrSatelliteService	A service which provides access to media programming like TV or radio. Access may be via cable or satellite.	Service	Intangible	Thing	NA	NA
BuyAction	The act of giving money to a seller in exchange for goods or services rendered. An agent buys an object, product, or service from a seller for a price. Reciprocal of SellAction.	TradeAction	Action	Thing	NA	NA
