class	description	inherits	inherits.2	inherits.3	inherits.4	inherits.5
SomeProducts	A placeholder for multiple similar products of the same kind.	Product	Thing	NA	NA	NA
SoftwareSourceCode	Computer programming source code. Example: Full (compile ready) solutions, code snippet samples, scripts, templates.	CreativeWork	Thing	NA	NA	NA
SoftwareApplication	A software application.	CreativeWork	Thing	NA	NA	NA
SocialMediaPosting	A post to a social media platform, including blog posts, tweets, Facebook posts, etc.	Article	CreativeWork	Thing	NA	NA
SocialEvent	Event type: Social event.	Event	Thing	NA	NA	NA
SkiResort	A ski resort.	SportsActivityLocation	LocalBusiness	Place	Thing	NA
SkiResort	A ski resort.	SportsActivityLocation	LocalBusiness	Organization	Thing	NA
SiteNavigationElement	A navigation element of the page.	WebPageElement	CreativeWork	Thing	NA	NA
SingleFamilyResidence	Residence type: Single-family home.	House	Accommodation	Place	Thing	NA
ShoppingCenter	A shopping center or mall.	LocalBusiness	Place	Thing	NA	NA
ShoppingCenter	A shopping center or mall.	LocalBusiness	Organization	Thing	NA	NA
ShoeStore	A shoe store.	Store	LocalBusiness	Place	Thing	NA
ShoeStore	A shoe store.	Store	LocalBusiness	Organization	Thing	NA
ShareAction	The act of distributing content to people for their amusement or edification.	CommunicateAction	InteractAction	Action	Thing	NA
ServiceChannel	A means for accessing a service, e.g. a government office location, web site, or phone number.	Intangible	Thing	NA	NA	NA
Service	A service provided by an organization, e.g. delivery service, print services, etc.	Intangible	Thing	NA	NA	NA
Series	"
          A Series in schema.org is a group of related items, typically but not necessarily of the same kind. See also [[CreativeWorkSeries]], [[EventSeries]]."	Intangible	Thing	NA	NA	NA
SendAction	The act of physically/electronically dispatching an object for transfer from an origin to a destination.Related actions:\n\n* [[ReceiveAction]]: The reciprocal of SendAction.\n* [[GiveAction]]: Unlike GiveAction, SendAction does not imply the transfer of ownership (e.g. I can send you my laptop, but I'm not necessarily giving it to you).	TransferAction	Action	Thing	NA	NA
SellAction	The act of taking money from a buyer in exchange for goods or services rendered. An agent sells an object, product, or service to a buyer for a price. Reciprocal of BuyAction.	TradeAction	Action	Thing	NA	NA
SelfStorage	A self-storage facility.	LocalBusiness	Place	Thing	NA	NA
SelfStorage	A self-storage facility.	LocalBusiness	Organization	Thing	NA	NA
Seat	Used to describe a seat, such as a reserved seat in an event reservation.	Intangible	Thing	NA	NA	NA
Season	A media season e.g. tv, radio, video game etc.	CreativeWork	Thing	NA	NA	NA
SearchResultsPage	Web page type: Search results page.	WebPage	CreativeWork	Thing	NA	NA
SearchAction	The act of searching for an object.\n\nRelated actions:\n\n* [[FindAction]]: SearchAction generally leads to a FindAction, but not necessarily.	Action	Thing	NA	NA	NA
SeaBodyOfWater	A sea (for example, the Caspian sea).	BodyOfWater	Landform	Place	Thing	NA
Sculpture	A piece of sculpture.	CreativeWork	Thing	NA	NA	NA
ScreeningEvent	A screening of a movie or other video.	Event	Thing	NA	NA	NA
School	A school.	EducationalOrganization	Organization	Thing	NA	NA
ScholarlyArticle	A scholarly article.	Article	CreativeWork	Thing	NA	NA
ScheduleAction	Scheduling future actions, events, or tasks.\n\nRelated actions:\n\n* [[ReserveAction]]: Unlike ReserveAction, ScheduleAction allocates future actions (e.g. an event, a task, etc) towards a time slot / spatial allocation.	PlanAction	OrganizeAction	Action	Thing	NA
SaleEvent	Event type: Sales event.	Event	Thing	NA	NA	NA
RsvpResponseType	RsvpResponseType is an enumeration type whose instances represent responding to an RSVP request.	Enumeration	Intangible	Thing	NA	NA
RsvpAction	The act of notifying an event organizer as to whether you expect to attend the event.	InformAction	CommunicateAction	InteractAction	Action	Thing
Room	"A room is a distinguishable space within a structure, usually separated from other spaces by interior walls. (Source: Wikipedia, the free encyclopedia, see <a href=""http://en.wikipedia.org/wiki/Room"">http://en.wikipedia.org/wiki/Room</a>).
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.
"	Accommodation	Place	Thing	NA	NA
RoofingContractor	A roofing contractor.	HomeAndConstructionBusiness	LocalBusiness	Place	Thing	NA
RoofingContractor	A roofing contractor.	HomeAndConstructionBusiness	LocalBusiness	Organization	Thing	NA
